35.298,136.853,497
35.22,137.66,524
34.977,137.425,537
34.812,137.028,639
34.627,137.222,530.5
35.137,136.792,599.5
35.228,137.285,400.5
35.078,137.413,472.5
35.132,137.177,408.5
34.918,137.193,526
34.75,137.342,511.5
35.212,137.507,469
34.74,136.938,631
34.845,137.217,459
35.217,136.698,582.5
34.907,137.518,467
34.995,136.943,531
34.858,136.805,605
35.167,136.965,530
34.628,137.093,651.5
35.515,137.23,305.5
35.247,136.458,629
35.662,137.427,323.5
35.723,136.783,468
36.01,136.893,399.5
36.035,137.26,405.5
35.888,137.207,323
35.757,136.978,406
35.662,137.16,338
35.445,137.005,407.5
35.447,137.403,349
35.477,137.487,358
35.347,136.62,578
35.555,136.91,379.5
35.347,137.108,376
35.763,137.288,327.5
35.485,136.567,532
35.598,137.318,354
36.06,137.035,442.5
36.015,137.388,446.5
35.638,136.602,532
35.363,136.467,628.5
35.925,136.832,416
35.4,136.762,513.5
35.143,136.538,573
35.05,136.693,563
34.725,136.308,684
34.627,136.108,607.5
34.323,136.488,874
34.278,136.208,1116
34.625,136.322,696.5
34.308,136.873,954.5
33.852,135.98,1152
34.87,136.453,554.5
34.528,136.665,888.5
34.448,136.39,829
34.482,136.825,896.5
34.345,136.682,738.5
34.208,136.327,856.5
33.932,136.138,954.5
34.94,136.58,661
34.762,136.142,511
34.733,136.518,648
34.068,136.193,1458.5
35.998,136.358,367.5
35.48,135.617,569.5
35.908,136.668,430.5
35.905,136.173,390
35.6,135.917,477.5
36.012,135.99,360.5
36.038,136.522,310
35.97,136.498,358.5
35.767,136.2,486.5
35.483,135.782,531.5
35.653,136.062,424
36.055,136.222,317.5
35.127,136.092,450
35.308,135.83,671
35.582,136.188,426
34.992,135.912,471.5
34.938,136.278,518
35.062,136.19,532.5
34.913,136.08,489
35.423,136.242,436
35.235,135.957,406
35.412,136.028,450.5
35.383,136.343,450
35.383,136.243,450.5
35.618,135.072,350.5
35.182,135.662,466
35.26,135.395,479
34.93,135.678,428.5
35.382,135.453,660
35.177,135.42,457.5
35.293,135.258,446
35.217,135.232,503
35.418,135.087,574.5
35.55,135.235,488
35.312,135.113,471.5
35.108,135.455,488
34.83,135.76,442.5
35.737,135.087,239
35.275,135.55,504
35.45,135.317,598.5
35.015,135.732,397
34.423,135.543,548.5
34.86,135.56,350
34.948,135.455,390
34.783,135.438,348.5
34.675,135.677,479
34.385,135.35,572
34.555,135.485,467
34.808,135.672,406
34.597,135.6,418.5
34.433,135.232,486.5
34.682,135.518,430
35.528,134.48,548
35.398,134.74,516
35.017,134.368,275.5
35.025,135.293,517.5
35.332,134.665,475
34.75,135.335,404
35.167,134.792,432
35.137,135.065,431
35.097,134.585,402.5
34.858,134.373,340
34.672,134.527,369
34.687,134.877,417.5
34.998,134.997,348.5
34.95,134.748,318.5
34.895,135.212,387.5
34.467,134.848,449
34.777,135.013,397
34.218,134.72,585.5
35.625,134.627,352.5
35.323,134.848,403
35.432,134.583,542.5
34.632,135.223,330
35.535,134.822,481.5
34.838,134.67,365
34.697,135.212,338
34.31,134.848,569
34.555,135.785,474.5
34.522,136.158,769
33.927,135.83,931
34.488,135.703,571.5
34.378,135.9,562
34.27,135.883,738
34.003,135.967,880
34.605,135.952,477
34.488,135.932,523.5
34.38,135.73,544.5
34.137,136.005,826
34.045,135.787,692
34.673,135.837,443
34.04,135.567,660.5
33.605,135.48,649
34.035,135.182,589
33.837,135.773,886.5
33.675,135.848,1060.5
34.347,135.437,627.5
34.222,135.59,683.5
33.687,135.97,1451.5
33.792,135.513,573
34.087,135.425,617.5
33.945,135.557,534.5
34.31,135.528,521.5
33.638,135.71,772.5
34.28,135,479
33.893,135.217,584.5
33.662,135.363,645.5
34.228,135.163,574.5
33.45,135.757,955.5
34.918,134.082,312
34.828,133.523,342
34.685,133.445,385.5
34.617,133.618,304.5
34.965,133.628,312.5
35.3,133.987,538
35.178,133.805,448.5
34.817,133.705,334
34.962,133.812,311
35.068,133.753,313
34.943,133.518,347.5
34.867,133.903,309
34.815,134.183,315
34.682,134.207,328
34.59,133.768,295.5
34.487,133.95,331
34.502,133.495,319
34.792,133.61,323.5
35.112,134.17,275.5
35.098,134.325,335.5
35.297,133.725,544
35.103,133.435,386.5
34.757,133.855,277
35.063,134.008,320
34.685,133.925,315
35.378,133.757,441
35.333,134.405,452.5
35.328,134.113,540.5
35.288,133.483,395.5
35.413,134.017,614.5
35.393,133.537,534.5
35.52,133.997,348.5
35.558,134.36,387.5
35.523,133.567,351.5
35.187,133.23,426.5
35.473,133.838,366.5
35.263,134.24,431
35.53,134.165,336.5
35.543,133.235,371
35.487,134.237,353.5
35.433,133.338,360.5
33.878,134.388,804
33.99,134.037,556.5
34.023,133.795,490.5
33.732,134.538,628.5
33.837,134.742,726.5
33.867,133.903,663
33.772,134.198,726
33.612,134.355,441
34.067,134.573,630
34.113,134.05,589.5
34.472,134.273,351
34.237,133.923,438.5
34.213,134.407,526
34.12,133.772,411
34.213,134.015,459
34.318,134.053,416.5
34.275,133.752,374
33.678,133.685,529.5
33.393,134.205,436.5
33.427,134.007,242.5
33.615,134.108,526
33.753,133.575,603
33.698,133.875,419
33.59,133.643,321.5
33.545,133.668,366
33.567,133.548,428.5
33.252,134.177,459
